RUN STARTED 2026-08-13T15:56:56.3187838-07:00
########## STAGING FINAL ##########
test_access_window.py                      OK   exit=0 | RESULT: 30 passed, 0 failed
test_action_intent.py                      OK   exit=0 | RESULT: 21 passed, 0 failed
test_aether_sim.py                         OK   exit=0 | 40 passed, 0 failed
test_api_http.py                           OK   exit=0 | 19/19 passed.
test_api_ownership.py                      OK   exit=0 | 44/44 passed.
test_archive_isolation.py                  OK   exit=0 | 20/20 passed.
test_archive_titles.py                     OK   exit=0 | RESULT: 24 passed, 0 failed
test_argonet.py                            OK   exit=0 | ALL 68 CHECKS PASSED - Argo-Net integration
test_atrest_call_sites.py                  OK   exit=0 | 12 passed, 0 failed
test_atrest_ns.py                          OK   exit=0 | 37/37 passed.
test_bitchat_wire.py                       OK   exit=0 | (external checkout; the wire-ID fix still needs a live phone test)
test_browser.py                            OK   exit=0 | Title: Example Domain
test_build_gate_containment.py             OK   exit=0 | 40/40 passed.
test_comfyui_launcher.py                   OK   exit=0 | 9/9 comfyui_launcher tests passed
test_craiid_jobs_wiring.py                 OK   exit=0 | CRAIID jobs-in-try test: PASS (all 6 jobs run in the try body)
test_customs.py                            OK   exit=0 | RESULT: 45 passed, 0 failed
test_data_import.py                        OK   exit=0 | 45/45 passed.
test_data_panel_contract.py                OK   exit=0 | 39/39 passed.
test_export_containment.py                 OK   exit=0 | 20/20 passed.
test_export_import_roundtrip.py            OK   exit=0 | 33/33 passed.
test_expression_engine.py                  OK   exit=0 | ALL PASS
test_identity_announcement.py              FAIL exit=1 | UnicodeEncodeError: 'charmap' codec can't encode character '\u2717' in position 0: character maps to <undefined>
test_imperium.py                           OK   exit=0 | ALL 43 CHECKS PASSED - IMPERIUM v2.0 (parent 2.12.16)
test_import_surface.py                     OK   exit=0 | 38/38 passed.
test_intent_scope.py                       OK   exit=0 | RESULT: 29 passed, 0 failed
test_key_lifecycle.py                      OK   exit=0 | 37/37 passed.
test_key_migration.py                      OK   exit=0 | 43/43 passed.
test_keywrap.py                            OK   exit=0 | 50/50 passed.
test_mcp_containment.py                    OK   exit=0 | 28/28 passed.
test_mfa.py                                OK   exit=0 | 50 checks, 0 failures
test_ns_guard.py                           OK   exit=0 | 11 passed, 0 failed
test_password_policy.py                    OK   exit=0 | 48 checks, 0 failures
test_profile_key_residency.py              OK   exit=0 | 30/30 passed.
test_profile_keys.py                       OK   exit=0 | 53/53 passed.
test_prompt_cache_manager.py               FAIL exit=1 | UnicodeEncodeError: 'charmap' codec can't encode character '\u274c' in position 2: character maps to <undefined>
test_recovery_flows.py                     OK   exit=0 | 35/35 passed.
test_recovery_ui_contract.py               OK   exit=0 | 33/33 passed.
test_relay.py                              OK   exit=0 | 6 passed, 0 failed
test_relay_core.py                         OK   exit=0 | 7 passed, 0 failed
test_request_scheduler.py                  OK   exit=0 | 22 passed, 0 failed
test_sage_rag.py                           OK   exit=0 | 10/10 passed
test_save_verify_path.py                   OK   exit=0 | RESULT: 17 passed, 0 failed
test_scoped_keys.py                        OK   exit=0 | 28/28 passed.
test_skill_api.py                          OK   exit=0 | 10 passed, 0 failed
test_skill_gate.py                         OK   exit=0 | 10 passed, 0 failed
test_skill_keys.py                         OK   exit=0 | 7 passed, 0 failed
test_skill_service.py                      OK   exit=0 | 11 passed, 0 failed
test_skill_store.py                        OK   exit=0 | 10 passed, 0 failed
test_skill_trust.py                        OK   exit=0 | 8 passed, 0 failed
test_stack_trace_containment.py            OK   exit=0 | 19/19 passed.
test_state_migration.py                    OK   exit=0 | 24/24 passed.
test_tag_parser_v213.py                    OK   exit=0 | RESULT: 34 passed, 0 failed
test_token_wraps.py                        OK   exit=0 | 32/32 passed.
test_ui_prefs_scope.py                     OK   exit=0 | 22/22 passed.
test_wan_guard.py                          OK   exit=0 | 6 passed, 0 failed
########## STORE FINAL ##########
test_access_window.py                      OK   exit=0 | RESULT: 30 passed, 0 failed
test_action_intent.py                      OK   exit=0 | RESULT: 21 passed, 0 failed
test_aether_sim.py                         OK   exit=0 | 40 passed, 0 failed
test_api_http.py                           OK   exit=0 | 19/19 passed.
test_api_ownership.py                      OK   exit=0 | 44/44 passed.
test_archive_isolation.py                  OK   exit=0 | 20/20 passed.
test_archive_titles.py                     OK   exit=0 | RESULT: 24 passed, 0 failed
test_argonet.py                            OK   exit=0 | ALL 68 CHECKS PASSED - Argo-Net integration
test_atrest_call_sites.py                  OK   exit=0 | 12 passed, 0 failed
test_atrest_ns.py                          OK   exit=0 | 37/37 passed.
test_bitchat_wire.py                       OK   exit=0 | (external checkout; the wire-ID fix still needs a live phone test)
test_browser.py                            OK   exit=0 | Title: Example Domain
test_build_gate_containment.py             OK   exit=0 | 40/40 passed.
test_comfyui_launcher.py                   OK   exit=0 | 9/9 comfyui_launcher tests passed
test_craiid_jobs_wiring.py                 OK   exit=0 | CRAIID jobs-in-try test: PASS (all 6 jobs run in the try body)
test_customs.py                            OK   exit=0 | RESULT: 45 passed, 0 failed
test_data_import.py                        OK   exit=0 | 45/45 passed.
test_data_panel_contract.py                OK   exit=0 | 39/39 passed.
test_export_containment.py                 OK   exit=0 | 20/20 passed.
test_export_import_roundtrip.py            OK   exit=0 | 33/33 passed.
test_expression_engine.py                  OK   exit=0 | ALL PASS
test_identity_announcement.py              FAIL exit=1 | UnicodeEncodeError: 'charmap' codec can't encode character '\u2717' in position 0: character maps to <undefined>
test_imperium.py                           OK   exit=0 | ALL 43 CHECKS PASSED - IMPERIUM v2.0 (parent 2.12.16)
test_import_surface.py                     OK   exit=0 | 38/38 passed.
test_intent_scope.py                       OK   exit=0 | RESULT: 29 passed, 0 failed
test_key_lifecycle.py                      OK   exit=0 | 37/37 passed.
test_key_migration.py                      OK   exit=0 | 43/43 passed.
test_keywrap.py                            OK   exit=0 | 50/50 passed.
test_mcp_containment.py                    OK   exit=0 | 28/28 passed.
test_mfa.py                                OK   exit=0 | 50 checks, 0 failures
test_ns_guard.py                           OK   exit=0 | 11 passed, 0 failed
test_password_policy.py                    OK   exit=0 | 48 checks, 0 failures
test_profile_key_residency.py              OK   exit=0 | 30/30 passed.
test_profile_keys.py                       OK   exit=0 | 53/53 passed.
test_prompt_cache_manager.py               FAIL exit=1 | UnicodeEncodeError: 'charmap' codec can't encode character '\u274c' in position 2: character maps to <undefined>
test_recovery_flows.py                     OK   exit=0 | 35/35 passed.
test_recovery_ui_contract.py               OK   exit=0 | 33/33 passed.
test_relay.py                              OK   exit=0 | 6 passed, 0 failed
test_relay_core.py                         OK   exit=0 | 7 passed, 0 failed
test_request_scheduler.py                  OK   exit=0 | 22 passed, 0 failed
test_sage_rag.py                           OK   exit=0 | 10/10 passed
test_save_verify_path.py                   OK   exit=0 | RESULT: 17 passed, 0 failed
test_scoped_keys.py                        OK   exit=0 | 28/28 passed.
test_skill_api.py                          OK   exit=0 | 10 passed, 0 failed
test_skill_gate.py                         OK   exit=0 | 10 passed, 0 failed
test_skill_keys.py                         OK   exit=0 | 7 passed, 0 failed
test_skill_service.py                      OK   exit=0 | 11 passed, 0 failed
test_skill_store.py                        OK   exit=0 | 10 passed, 0 failed
test_skill_trust.py                        OK   exit=0 | 8 passed, 0 failed
test_stack_trace_containment.py            OK   exit=0 | 19/19 passed.
test_state_migration.py                    OK   exit=0 | 24/24 passed.
test_tag_parser_v213.py                    OK   exit=0 | RESULT: 34 passed, 0 failed
test_token_wraps.py                        OK   exit=0 | 32/32 passed.
test_ui_prefs_scope.py                     OK   exit=0 | 22/22 passed.
test_wan_guard.py                          OK   exit=0 | 6 passed, 0 failed
RUN COMPLETE 2026-08-13T16:00:51.0456040-07:00

# This document and all documentation has been generated by AI and Human edited.

- A Human (Todd [That's Me, the Human]) Architect/Director/Editor led AI coding
  team of multiple current leading online frontier models, and many local models
  using VeridianAI's multi-model slots with Toga (very large local model library).
